Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS
Tube Investments,540762,TIINDIA,Cycles And Accessories,1521.1,29355.03,38.85,38.85,39.85
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds,763.65,36281.01,48.02,38.23,
Ujjivan Small,542904,UJJIVANSFB,Banks - Private Sector,16.2,2799.87,,18.12,
UPL,512070,UPL,Pesticides / Agrochemicals - Indian,734.4,56111.5,14.64,23.65,
V2 Retail,532867,V2RETAIL,Textiles - Products,132.5,455.66,,,-3.24
Varun Beverages,540180,VBL,Food - Processing - Indian,754.5,49008.52,59.84,45.39,12.61
Venky's (India),523261,VENKEYS,Miscellaneous,2012.65,2835.29,17.21,23.2,
Venus Remedies,526953,VENUSREM,Pharmaceuticals - Indian - Formulations,218.7,292.34,7.18,24.96,50.05
Vinati Organics,524200,VINATIORGA,Chemicals,2018.25,20743.99,59.84,23.06,
Visaka Industrie,509055,VISAKAIND,Cement Products,506.8,875.8,7.4,20.19,67.13
Vodafone Idea,532822,IDEA,Telecommunications - Service Provider,9.1,29228.15,,28.31,-15.39
Voltas,500575,VOLTAS,Air-conditioners,992.55,32841.96,65.05,40.09,
Welspun India,514162,WELSPUNIND,Textiles - Products,75.55,7590.7,12.63,23.77,
Wendt India,505412,WENDT,Abrasives And Grinding Wheels,7397.1,1479.42,54.65,51.57,135.35
Whirlpool India,500238,WHIRLPOOL,Domestic Appliances,1559.5,19785.38,69,50.18,44.64
Wockhardt,532300,WOCKPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,242.6,3494.9,,23.78,47.64
Yes Bank,532648,YESBANK,Banks - Private Sector,12.95,32446.2,30.43,18.12,0.43
Zee Entertainmen,505537,ZEEL,Entertainment / Electronic Media Software,236.15,22682.67,21.69,50.36,10.04
ZF Commercial,533023,ZFCVINDIA,Auto Ancillaries,7685.65,14571.99,102.57,22.01,
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,358.9,36742.12,8.36,23.78,
Zydus Wellness,531335,ZYDUSWELL,Food - Processing - Indian,1599.05,10175.1,32.94,45.39,
